State,Year,CrimeRate In NorthEast
Arunachal Pradesh,2001,180
Arunachal Pradesh,2002,159
Arunachal Pradesh,2003,139
Arunachal Pradesh,2004,148
Arunachal Pradesh,2005,150
Arunachal Pradesh,2006,168
Arunachal Pradesh,2007,185
Arunachal Pradesh,2008,175
Arunachal Pradesh,2009,164
Arunachal Pradesh,2010,190
Arunachal Pradesh,2011,171
Arunachal Pradesh,2012,201
Assam,2001,4064
Assam,2002,5028
Assam,2003,5220
Assam,2004,5664
Assam,2005,5942
Assam,2006,6770
Assam,2007,6828
Assam,2008,8111
Assam,2009,9680
Assam,2010,11518
Assam,2011,11482
Assam,2012,13501
Manipur,2001,112
Manipur,2002,170
Manipur,2003,137
Manipur,2004,134
Manipur,2005,140
Manipur,2006,171
Manipur,2007,188
Manipur,2008,211
Manipur,2009,194
Manipur,2010,190
Manipur,2011,247
Manipur,2012,304
Meghalaya,2001,66
Meghalaya,2002,71
Meghalaya,2003,69
Meghalaya,2004,113
Meghalaya,2005,131
Meghalaya,2006,176
Meghalaya,2007,172
Meghalaya,2008,208
Meghalaya,2009,236
Meghalaya,2010,261
Meghalaya,2011,266
Meghalaya,2012,255
Mizoram,2001,123
Mizoram,2002,154
Mizoram,2003,147
Mizoram,2004,91
Mizoram,2005,95
Mizoram,2006,125
Mizoram,2007,151
Mizoram,2008,162
Mizoram,2009,150
Mizoram,2010,170
Mizoram,2011,167
Mizoram,2012,199
Nagaland,2001,30
Nagaland,2002,26
Nagaland,2003,24
Nagaland,2004,30
Nagaland,2005,37
Nagaland,2006,43
Nagaland,2007,32
Nagaland,2008,47
Nagaland,2009,46
Nagaland,2010,41
Nagaland,2011,38
Nagaland,2012,51
Sikkim,2001,24
Sikkim,2002,28
Sikkim,2003,37
Sikkim,2004,49
Sikkim,2005,62
Sikkim,2006,47
Sikkim,2007,55
Sikkim,2008,48
Sikkim,2009,41
Sikkim,2010,42
Sikkim,2011,55
Sikkim,2012,68
Tripura,2001,438
Tripura,2002,536
Tripura,2003,537
Tripura,2004,670
Tripura,2005,840
Tripura,2006,964
Tripura,2007,1067
Tripura,2008,1415
Tripura,2009,1515
Tripura,2010,1677
Tripura,2011,1358
Tripura,2012,1559
