State,Year,CrimeRate In West
Goa,2001,83
Goa,2002,76
Goa,2003,121
Goa,2004,132
Goa,2005,121
Goa,2006,96
Goa,2007,80
Goa,2008,130
Goa,2009,164
Goa,2010,140
Goa,2011,127
Goa,2012,200
Gujarat,2001,5805
Gujarat,2002,5372
Gujarat,2003,5735
Gujarat,2004,6211
Gujarat,2005,6343
Gujarat,2006,7278
Gujarat,2007,8260
Gujarat,2008,8616
Gujarat,2009,8007
Gujarat,2010,8141
Gujarat,2011,8787
Gujarat,2012,9561
Maharashtra,2001,12496
Maharashtra,2002,11299
Maharashtra,2003,11244
Maharashtra,2004,12148
Maharashtra,2005,13347
Maharashtra,2006,14396
Maharashtra,2007,14879
Maharashtra,2008,15813
Maharashtra,2009,14998
Maharashtra,2010,15697
Maharashtra,2011,15684
Maharashtra,2012,16320
Rajasthan,2001,12170
Rajasthan,2002,12043
Rajasthan,2003,11808
Rajasthan,2004,13113
Rajasthan,2005,11655
Rajasthan,2006,12928
Rajasthan,2007,14268
Rajasthan,2008,14488
Rajasthan,2009,17313
Rajasthan,2010,18179
Rajasthan,2011,19884
Rajasthan,2012,21067
