State,Year,CrimeRate In Central
Madhya Pradesh,2001,14519
Madhya Pradesh,2002,15236
Madhya Pradesh,2003,14518
Madhya Pradesh,2004,15163
Madhya Pradesh,2005,14490
Madhya Pradesh,2006,14289
Madhya Pradesh,2007,15318
Madhya Pradesh,2008,14876
Madhya Pradesh,2009,15735
Madhya Pradesh,2010,16396
Madhya Pradesh,2011,16488
Madhya Pradesh,2012,16725
Chhattisgarh,2001,3976
Chhattisgarh,2002,3526
Chhattisgarh,2003,3320
Chhattisgarh,2004,3756
Chhattisgarh,2005,3594
Chhattisgarh,2006,3747
Chhattisgarh,2007,3761
Chhattisgarh,2008,3947
Chhattisgarh,2009,3986
Chhattisgarh,2010,4168
Chhattisgarh,2011,4199
Chhattisgarh,2012,4214
