State,Year,CrimeRate In East
Bihar,2001,4438
Bihar,2002,4926
Bihar,2003,5157
Bihar,2004,6836
Bihar,2005,5156
Bihar,2006,5789
Bihar,2007,6514
Bihar,2008,7352
Bihar,2009,7520
Bihar,2010,7466
Bihar,2011,8828
Bihar,2012,9872
Jharkhand,2001,1852
Jharkhand,2002,2255
Jharkhand,2003,2227
Jharkhand,2004,2255
Jharkhand,2005,2227
Jharkhand,2006,2629
Jharkhand,2007,2864
Jharkhand,2008,2709
Jharkhand,2009,2601
Jharkhand,2010,2675
Jharkhand,2011,2724
Jharkhand,2012,3467
Odisha,2001,4921
Odisha,2002,4355
Odisha,2003,4534
Odisha,2004,4707
Odisha,2005,5803
Odisha,2006,5419
Odisha,2007,5844
Odisha,2008,6987
Odisha,2009,7174
Odisha,2010,7554
Odisha,2011,8371
Odisha,2012,10501
West Bengal,2001,6561
West Bengal,2002,6835
West Bengal,2003,8490
West Bengal,2004,10999
West Bengal,2005,11808
West Bengal,2006,12759
West Bengal,2007,16499
West Bengal,2008,20839
West Bengal,2009,23256
West Bengal,2010,26064
West Bengal,2011,29017
West Bengal,2012,30689
